[22:54:15] 28800 frames at 1920x1080
[22:54:15] tile 224px (resized to 224 for the model), stride 112, 153 tiles/frame
[23:42:14] 007930.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:14] 007931.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:15] 007932.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:15] 007933.jpg tile=(896,448) offset=(48, 20) repair-heal (great) (1.000)
[23:42:39]   8000/28800 frames, 2.8 fps, ~125.8 min left
[23:43:15]   8100/28800 frames, 2.8 fps, ~125.2 min left
[23:43:50]   8200/28800 frames, 2.8 fps, ~124.6 min left
[23:44:23] 008290.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:23] 008291.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:44:24] 008292.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:44:24] 008293.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:44:24] 008294.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.996)
[23:44:25] 008295.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.992)
[23:44:25] 008296.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.992)
[23:44:26] 008297.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.977)
[23:44:26] 008298.jpg tile=(896,448) offset=(48, 20) repair-heal (out) (0.993)
[23:44:26] 008299.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.997)
[23:44:27]   8300/28800 frames, 2.8 fps, ~124.0 min left
[23:44:27] 008300.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (0.999)
[23:44:27] 008301.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:28] 008302.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:28] 008303.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:29] 008304.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:29] 008305.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:29] 008306.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:30] 008307.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:30] 008308.jpg tile=(784,448) offset=(-64, 20) repair-heal (out) (1.000)
[23:44:31] 008309.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:44:31] 008310.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:44:31] 008311.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
[23:44:32] 008312.jpg tile=(784,448) offset=(-64, 20) repair-heal (great) (1.000)
